Test ID,Module,Test Case,Priority,Steps,Expected Result,Actual Result,Status,Severity,Notes
LEAD-001,Leads,Create new lead,P0,"1. Go to CRM → Leads
2. Click New Lead
3. Fill: name, email, company, source
4. Save","Lead created:
- Record in opportunities table
- Stage = Lead
- Shows in leads list",,,PASS/FAIL,P0,
LEAD-002,Leads,Lead name is required,P1,"1. Try to create lead without name
2. Submit",Validation error: Name required,,,PASS/FAIL,P1,
LEAD-003,Leads,Lead email validation,P1,"1. Enter invalid email (no @)
2. Try to save",Validation error: Invalid email,,,PASS/FAIL,P1,
LEAD-004,Leads,View lead details,P0,"1. Click on lead from list
2. View detail page","Lead details shown:
- Name, email, company
- Source, created date
- Activities log",,,PASS/FAIL,P0,
LEAD-005,Leads,Edit lead details,P1,"1. Open lead
2. Click Edit
3. Change fields
4. Save",Changes saved and reflected,,,PASS/FAIL,P1,
LEAD-006,Leads,Delete lead,P1,"1. Select lead
2. Click Delete
3. Confirm","Lead deleted:
- Removed from database
- No longer in list",,,PASS/FAIL,P1,
LEAD-007,Leads,Convert lead to opportunity,P0,"1. Open lead
2. Click Convert to Opportunity
3. Choose methodology
4. Set stage
5. Save","Lead converted:
- Stage changed from Lead
- Methodology set
- Qualification tab available",,,PASS/FAIL,P0,
LEAD-008,Leads,Filter leads by source,P2,"1. Go to leads list
2. Filter by source (e.g., Website)
3. View results",Only leads from that source shown,,,PASS/FAIL,P2,
LEAD-009,Leads,Search leads by name,P1,"1. Enter name in search box
2. Press Enter",Matching leads shown,,,PASS/FAIL,P1,
LEAD-010,Leads,Sort leads by date,P2,"1. Click column header (Created Date)
2. Toggle ascending/descending",Leads sorted correctly,,,PASS/FAIL,P2,
OPP-001,Opportunities,Create new opportunity,P0,"1. Go to CRM → Opportunities
2. Click New Opportunity
3. Fill: name, account, amount, close date
4. Choose methodology
5. Save","Opportunity created:
- Record in opportunities table
- Stage = Qualification (10%)
- Methodology set",,,PASS/FAIL,P0,
OPP-002,Opportunities,Opportunity name is required,P1,"1. Try to create opp without name
2. Submit",Validation error: Name required,,,PASS/FAIL,P1,
OPP-003,Opportunities,Opportunity amount validation,P1,"1. Enter negative amount
2. Try to save",Validation error: Amount must be positive,,,PASS/FAIL,P1,
OPP-004,Opportunities,Choose IGNITE-APEX methodology,P0,"1. Create opportunity
2. Select methodology: IGNITE-APEX
3. Save","Methodology saved:
- methodology = 'ignite_apex'
- Qualification tab shows roadmap
- Gates available",,,PASS/FAIL,P0,
OPP-005,Opportunities,Choose Standard CRM methodology,P1,"1. Create opportunity
2. Select methodology: Standard
3. Save","Methodology saved:
- methodology = 'standard'
- Qualification tab shows BANT",,,PASS/FAIL,P1,
OPP-006,Opportunities,View opportunity detail,P0,"1. Click opportunity from list
2. View detail page","Details shown:
- Overview tab
- Qualification tab
- Activities tab
- Tasks tab",,,PASS/FAIL,P0,
OPP-007,Opportunities,Edit opportunity amount,P1,"1. Open opportunity
2. Edit amount
3. Save",Amount updated in database,,,PASS/FAIL,P1,
